gisaid id,sequence_name,country,travel_history,sample_date,epi_week,lineage
EPI_ISL_424294,USA/WA-UW-1872/2020,USA,,2020-03-23,13.0,B.1
EPI_ISL_424287,USA/WA-UW-1843/2020,USA,,2020-03-23,13.0,A.1
EPI_ISL_424286,USA/OR-UW-1849/2020,USA,,2020-03-20,12.0,A.1
EPI_ISL_424284,USA/WA-UW-1863/2020,USA,,2020-03-23,13.0,A.1
EPI_ISL_424283,USA/WA-UW-1946/2020,USA,,2020-03-24,13.0,A.1
EPI_ISL_424280,USA/WA-UW-1868/2020,USA,,2020-03-23,13.0,B.4
EPI_ISL_426817,Australia/VIC556/2020,Australia,,2020-03-25,13.0,B.2.1
EPI_ISL_426818,Australia/VIC557/2020,Australia,,2020-03-25,13.0,B.1.23
EPI_ISL_426819,Australia/VIC558/2020,Australia,,2020-03-25,13.0,B.1
EPI_ISL_426820,Australia/VIC559/2020,Australia,,2020-03-24,13.0,B.1
EPI_ISL_426822,Australia/VIC561/2020,Australia,,2020-03-25,13.0,B.1.1
EPI_ISL_426823,Australia/VIC562/2020,Australia,,2020-03-24,13.0,B.1
EPI_ISL_426825,Australia/VIC565/2020,Australia,,2020-03-25,13.0,A.2.2
EPI_ISL_426827,Australia/VIC567/2020,Australia,,2020-03-25,13.0,B.1
EPI_ISL_426828,Australia/VIC568/2020,Australia,,2020-03-25,13.0,A.1
EPI_ISL_426829,Australia/VIC569/2020,Australia,,2020-03-25,13.0,B
EPI_ISL_426830,Australia/VIC570/2020,Australia,,2020-03-25,13.0,B.1
EPI_ISL_426833,Australia/VIC574/2020,Australia,,2020-03-26,13.0,B.1.1
EPI_ISL_413520,Beijing/233/2020,China,,2020-01-28,5.0,A
EPI_ISL_413521,Beijing/235/2020,China,,2020-01-28,5.0,A
EPI_ISL_413522,India/1-27/2020,India,China,2020-01-27,5.0,B
EPI_ISL_413523,India/1-31/2020,India,China,2020-01-31,5.0,A
EPI_ISL_426800,Australia/VIC534/2020,Australia,,2020-03-25,13.0,B.1.23
EPI_ISL_426802,Australia/VIC536/2020,Australia,,2020-03-24,13.0,B.1.138
EPI_ISL_426804,Australia/VIC538/2020,Australia,,2020-03-23,13.0,B.1
EPI_ISL_426805,Australia/VIC540/2020,Australia,,2020-03-24,13.0,B.1
EPI_ISL_426806,Australia/VIC541/2020,Australia,,2020-03-24,13.0,B.1.138
EPI_ISL_426808,Australia/VIC545/2020,Australia,,2020-03-24,13.0,B.1
EPI_ISL_426809,Australia/VIC546/2020,Australia,,2020-03-24,13.0,B.1
EPI_ISL_426810,Australia/VIC547/2020,Australia,,2020-03-25,13.0,B.4.3
EPI_ISL_426811,Australia/VIC548/2020,Australia,,2020-03-25,13.0,B.1.1
EPI_ISL_426860,Australia/VIC605/2020,Australia,,2020-03-27,13.0,B.1
EPI_ISL_426863,Australia/VIC609/2020,Australia,,2020-03-27,13.0,B.1
EPI_ISL_426869,Australia/VIC614/2020,Australia,,2020-03-26,13.0,A.1
EPI_ISL_426872,Australia/VIC617/2020,Australia,,2020-03-26,13.0,B.1
EPI_ISL_426874,Australia/VIC630/2020,Australia,,2020-03-26,13.0,B.4.3
EPI_ISL_426877,Australia/VIC636/2020,Australia,,2020-03-28,13.0,A.1
EPI_ISL_426878,Australia/VIC701/2020,Australia,,2020-03-21,12.0,A.1
EPI_ISL_426835,Australia/VIC576/2020,Australia,,2020-03-26,13.0,B.1.5
EPI_ISL_424215,USA/WA-UW-1680/2020,USA,,2020-03-20,12.0,B.1
EPI_ISL_426836,Australia/VIC578/2020,Australia,,2020-03-26,13.0,B.1.138
EPI_ISL_424213,USA/WA-UW-1670/2020,USA,,2020-03-20,12.0,A.1
EPI_ISL_426839,Australia/VIC582/2020,Australia,,2020-03-25,13.0,B.1.26
EPI_ISL_424210,USA/WA-UW-1718/2020,USA,,2020-03-20,12.0,A.1
EPI_ISL_413562,USA/WA11-UW7/2020,USA,,2020-03-02,10.0,A.1
EPI_ISL_413563,USA/WA12-UW8/2020,USA,,2020-03-03,10.0,A.1
EPI_ISL_413558,USA/CA-CDPH-UC2/2020,USA,,2020-02-27,9.0,B
EPI_ISL_413559,USA/CA-CDPH-UC3/2020,USA,,2020-02-27,9.0,B
EPI_ISL_426840,Australia/VIC583/2020,Australia,,2020-03-25,13.0,B.1.5
EPI_ISL_426841,Australia/VIC584/2020,Australia,,2020-03-25,13.0,A.2.2
EPI_ISL_426843,Australia/VIC586/2020,Australia,,2020-03-24,13.0,B.2.1
EPI_ISL_424207,USA/WA-UW-1716/2020,USA,,2020-03-20,12.0,B.1
EPI_ISL_426845,Australia/VIC588/2020,Australia,,2020-03-21,12.0,A.1
EPI_ISL_426848,Australia/VIC591/2020,Australia,,2020-03-22,13.0,B.3
EPI_ISL_413550,Nigeria/Lagos01/2020,Nigeria,Italy,2020-02-27,9.0,B.1.1
EPI_ISL_413557,USA/CA-CDPH-UC1/2020,USA,,2020-02-28,9.0,A.1
EPI_ISL_426852,Australia/VIC595/2020,Australia,,2020-03-25,13.0,A.2.2
EPI_ISL_426853,Australia/VIC596/2020,Australia,,2020-03-25,13.0,A.2.2
EPI_ISL_426854,Australia/VIC597/2020,Australia,,2020-03-25,13.0,B.1.1
EPI_ISL_423027,USA/WA-UW-1473/2020,USA,,2020-03-18,12.0,A.1
EPI_ISL_424359,Beijing/Wuhan_IME-BJ05/2020,China,,2020-01-27,5.0,B
EPI_ISL_424358,Beijing/Wuhan_IME-BJ04/2020,China,,2020-01-28,5.0,A
EPI_ISL_423025,USA/WA-UW-1441/2020,USA,,2020-03-18,12.0,A.1
EPI_ISL_423026,USA/WA-UW-1440/2020,USA,,2020-03-18,12.0,B.1.5
EPI_ISL_424355,Beijing/Wuhan_IME-BJ01/2020,China,,2020-01-24,4.0,A
EPI_ISL_423020,USA/WA-UW-1570/2020,USA,,2020-03-19,12.0,B.1
EPI_ISL_424349,Iran/HGRC-01-IPI-8206/2020,Iran,,2020-03-09,11.0,B.4
EPI_ISL_424348,Mexico/CDMX-INER_02/2020,Mexico,,2020-03-13,11.0,B.1.5
EPI_ISL_423017,USA/WA-UW-1591/2020,USA,,2020-03-19,12.0,A.1
EPI_ISL_423014,USA/WA-UW-1587/2020,USA,,2020-03-19,12.0,A.1
EPI_ISL_423015,USA/WA-UW-1552/2020,USA,,2020-03-19,12.0,B.1.1
EPI_ISL_424345,Mexico/CDMX-INER_01/2020,Mexico,,2020-03-12,11.0,B.1.5
EPI_ISL_423012,USA/WA-UW-1588/2020,USA,,2020-03-19,12.0,A.1
EPI_ISL_424344,Italy/INMI10/2020,Italy,,2020-03-04,10.0,B.1
EPI_ISL_423013,USA/WA-UW-1586/2020,USA,,2020-03-19,12.0,B.1.1
EPI_ISL_424343,Italy/INMI9/2020,Italy,,2020-03-23,13.0,B.1
EPI_ISL_423011,USA/WA-UW-1561/2020,USA,,2020-03-19,12.0,B.1
EPI_ISL_424341,USA/WA-UW-2008/2020,USA,,2020-03-24,13.0,B.1.38
EPI_ISL_423009,USA/WA-UW-1427/2020,USA,,2020-03-18,12.0,A.1
EPI_ISL_423007,USA/WA-UW-1448/2020,USA,,2020-03-19,12.0,A.1
EPI_ISL_424339,USA/WA-UW-2016/2020,USA,,2020-03-24,13.0,B.1
EPI_ISL_424338,USA/WA-UW-1986/2020,USA,,2020-03-24,13.0,A.1
EPI_ISL_424377,Iceland/353/2020,Iceland,,2020-03-18,12.0,B.1
EPI_ISL_423043,Thailand/Bangkok-0022/2020,Thailand,,2020-03-18,12.0,B.1.1
EPI_ISL_411066,Fujian/13/2020,China,,2020-01-22,4.0,B
EPI_ISL_411060,Fujian/8/2020,China,,2020-01-21,4.0,A
EPI_ISL_424366,Turkey/ERAGEM-001/2020,Turkey,,2020-03-17,12.0,B.4
EPI_ISL_424365,India/3239/2020,India,,2020-03-17,12.0,B.1
EPI_ISL_423033,USA/WA-UW-1599/2020,USA,,2020-03-18,12.0,A.1
EPI_ISL_424363,India/1652/2020,India,,2020-03-12,11.0,B.4
EPI_ISL_423030,USA/WA-UW-1433/2020,USA,,2020-03-18,12.0,B.1
EPI_ISL_424361,India/1063/2020,India,,2020-03-10,11.0,B.4
EPI_ISL_424360,Beijing/Wuhan_IME-BJ07/2020,China,,2020-01-29,5.0,A
EPI_ISL_424398,Iceland/374/2020,Iceland,,2020-03-19,12.0,B.1
EPI_ISL_424397,Iceland/373/2020,Iceland,Finland,2020-03-19,12.0,B.1.1
EPI_ISL_424394,Iceland/370/2020,Iceland,UK,2020-03-19,12.0,B.1
EPI_ISL_424391,Iceland/367/2020,Iceland,,2020-03-19,12.0,B.1
EPI_ISL_424390,Iceland/366/2020,Iceland,,2020-03-19,12.0,B.1.1
EPI_ISL_424389,Iceland/365/2020,Iceland,,2020-03-19,12.0,B.1.1
EPI_ISL_424388,Iceland/364/2020,Iceland,,2020-03-19,12.0,B.1
EPI_ISL_424384,Iceland/360/2020,Iceland,,2020-03-19,12.0,B.1.1.17
EPI_ISL_424383,Iceland/359/2020,Iceland,,2020-03-19,12.0,B.1.1
EPI_ISL_424382,Iceland/358/2020,Iceland,,2020-03-19,12.0,B.2.7
EPI_ISL_426935,Australia/VIC639/2020,Australia,,2020-03-29,14.0,B.1
EPI_ISL_426939,Australia/VIC643/2020,Australia,,2020-03-28,13.0,B.1
EPI_ISL_426940,Australia/VIC644/2020,Australia,,2020-03-28,13.0,B.1
EPI_ISL_426941,Australia/VIC645/2020,Australia,,2020-03-28,13.0,B.4.3
EPI_ISL_426942,Australia/VIC646/2020,Australia,,2020-03-24,13.0,A.3
EPI_ISL_426947,Australia/VIC651/2020,Australia,,2020-03-28,13.0,B.1.1
EPI_ISL_426949,Australia/VIC653/2020,Australia,,2020-03-28,13.0,B.1.1
EPI_ISL_414941,Shandong/LY008-2/2020,China,,2020-01-30,5.0,A
EPI_ISL_413602,Finland/FIN03032020A/2020,Finland,,2020-03-03,10.0,B.1
EPI_ISL_413603,Finland/FIN03032020B/2020,Finland,,2020-03-03,10.0,B.2
EPI_ISL_414936,Shandong/LY003-2/2020,China,,2020-01-23,4.0,A
EPI_ISL_426950,Australia/VIC654/2020,Australia,,2020-03-28,13.0,B.1.1
EPI_ISL_426952,Australia/VIC656/2020,Australia,,2020-03-28,13.0,A.2.2
EPI_ISL_426912,Australia/VIC481/2020,Australia,,2020-03-29,14.0,B.1.5
EPI_ISL_426914,Australia/VIC483/2020,Australia,,2020-03-29,14.0,B.1.1.1
EPI_ISL_426918,Australia/VIC487/2020,Australia,,2020-03-29,14.0,B.1.1
EPI_ISL_426927,Australia/VIC623/2020,Australia,,2020-03-28,13.0,A.5
EPI_ISL_426928,Australia/VIC624/2020,Australia,,2020-03-28,13.0,B.1
EPI_ISL_426930,Australia/VIC626/2020,Australia,,2020-03-28,13.0,B.4
EPI_ISL_426932,Australia/VIC628/2020,Australia,,2020-03-29,14.0,B.1.23
EPI_ISL_424311,USA/WA-UW-1880/2020,USA,,2020-03-24,13.0,B.1
EPI_ISL_426980,Australia/VIC685/2020,Australia,,2020-03-28,13.0,B.2.1
EPI_ISL_426982,Australia/VIC689/2020,Australia,,2020-03-29,14.0,B.1
EPI_ISL_426983,Australia/VIC691/2020,Australia,,2020-03-27,13.0,B.1
EPI_ISL_426984,Australia/VIC692/2020,Australia,,2020-03-27,13.0,B.1
EPI_ISL_424308,USA/OR-UW-1887/2020,USA,,2020-03-22,13.0,A.1
EPI_ISL_426986,Australia/VIC694/2020,Australia,,2020-03-28,13.0,B.1.5
EPI_ISL_426987,Australia/VIC695/2020,Australia,,2020-03-28,13.0,B.1
EPI_ISL_426988,Australia/VIC696/2020,Australia,,2020-03-28,13.0,B.1.1
EPI_ISL_424304,USA/WA-UW-1930/2020,USA,,2020-03-24,13.0,B.1.26
EPI_ISL_426993,Australia/VIC706/2020,Australia,,2020-03-30,14.0,B.1.98
EPI_ISL_426994,Australia/VIC707/2020,Australia,,2020-03-29,14.0,B.1
EPI_ISL_426996,Australia/VIC709/2020,Australia,,2020-03-29,14.0,B.9
EPI_ISL_426997,Australia/VIC710/2020,Australia,,2020-03-29,14.0,B.9
EPI_ISL_426956,Australia/VIC660/2020,Australia,,2020-03-28,13.0,B.6
EPI_ISL_424336,USA/WA-UW-1988/2020,USA,,2020-03-24,13.0,A.1
EPI_ISL_424335,USA/WA-UW-1998/2020,USA,,2020-03-24,13.0,B.1
EPI_ISL_424333,USA/WA-UW-2006/2020,USA,,2020-03-24,13.0,B.1.21
EPI_ISL_423002,USA/WA-UW-1593/2020,USA,,2020-03-19,12.0,B.1
EPI_ISL_424332,USA/WA-UW-1917/2020,USA,,2020-03-22,13.0,B.1.1
EPI_ISL_424330,USA/WA-UW-1865/2020,USA,,2020-03-23,13.0,B.1
EPI_ISL_426961,Australia/VIC665/2020,Australia,,2020-03-27,13.0,B.1
EPI_ISL_426963,Australia/VIC667/2020,Australia,,2020-03-27,13.0,B.3
EPI_ISL_426964,Australia/VIC668/2020,Australia,,2020-03-27,13.0,B.2
EPI_ISL_424328,USA/WA-UW-1963/2020,USA,,2020-03-24,13.0,B.1
EPI_ISL_426967,Australia/VIC671/2020,Australia,,2020-03-27,13.0,A.2.2
EPI_ISL_424325,USA/WA-UW-1954/2020,USA,,2020-03-24,13.0,B.1
EPI_ISL_426968,Australia/VIC672/2020,Australia,,2020-03-27,13.0,B.1.1
EPI_ISL_424323,USA/WA-UW-1944/2020,USA,,2020-03-24,13.0,A.1
EPI_ISL_426972,Australia/VIC677/2020,Australia,,2020-03-27,13.0,B.1
EPI_ISL_426975,Australia/VIC680/2020,Australia,,2020-03-27,13.0,B.4.3
EPI_ISL_426660,Australia/VIC352/2020,Australia,,2020-03-20,12.0,B.3
EPI_ISL_426661,Australia/VIC353/2020,Australia,,2020-03-21,12.0,B.1.1
EPI_ISL_426662,Australia/VIC354/2020,Australia,,2020-03-21,12.0,B.1.1.1
EPI_ISL_426663,Australia/VIC355/2020,Australia,,2020-03-21,12.0,A.1
EPI_ISL_426666,Australia/VIC358/2020,Australia,,2020-03-21,12.0,A.2.2
EPI_ISL_426667,Australia/VIC359/2020,Australia,,2020-03-22,13.0,A.1
EPI_ISL_426669,Australia/VIC361/2020,Australia,,2020-03-22,13.0,B.1.1
EPI_ISL_414663,Guangzhou/GZMU0016/2020,China,,2020-02-25,9.0,A
EPI_ISL_426670,Australia/VIC362/2020,Australia,,2020-03-22,13.0,B.1.1
EPI_ISL_426671,Australia/VIC363/2020,Australia,,2020-03-22,13.0,B.1.1
EPI_ISL_426672,Australia/VIC364/2020,Australia,,2020-03-22,13.0,A.1
EPI_ISL_426673,Australia/VIC365/2020,Australia,,2020-03-22,13.0,A.1
EPI_ISL_426674,Australia/VIC366/2020,Australia,,2020-03-22,13.0,B.1.1
EPI_ISL_426675,Australia/VIC367/2020,Australia,,2020-03-22,13.0,A.2
EPI_ISL_426676,Australia/VIC368/2020,Australia,,2020-03-22,13.0,B.1.1
EPI_ISL_426679,Australia/VIC372/2020,Australia,,2020-03-22,13.0,B.1.1.64
EPI_ISL_426637,Australia/VIC327/2020,Australia,,2020-03-17,12.0,B.2.1
EPI_ISL_426639,Australia/VIC329/2020,Australia,,2020-03-17,12.0,B.1
EPI_ISL_412030,Hong_Kong/VB20026565-2/2020,Hong_Kong,,2020-02-01,5.0,B
EPI_ISL_414692,Guangzhou/GZMU0014/2020,China,,2020-02-25,9.0,B
EPI_ISL_426642,Australia/VIC333/2020,Australia,,2020-03-18,12.0,B.1.1
EPI_ISL_426644,Australia/VIC335/2020,Australia,,2020-03-20,12.0,A.1
EPI_ISL_426647,Australia/VIC338/2020,Australia,,2020-03-20,12.0,A.2
EPI_ISL_426648,Australia/VIC339/2020,Australia,,2020-03-20,12.0,B.1.1
EPI_ISL_426649,Australia/VIC340/2020,Australia,,2020-03-20,12.0,B.1
EPI_ISL_414686,Guangzhou/GZMU0030/2020,China,,2020-02-27,9.0,B
EPI_ISL_414688,Guangzhou/GZMU0042/2020,China,,2020-02-25,9.0,A
EPI_ISL_426651,Australia/VIC342/2020,Australia,,2020-03-20,12.0,B.2.4
EPI_ISL_426652,Australia/VIC343/2020,Australia,,2020-03-20,12.0,B.1.5
EPI_ISL_426654,Australia/VIC345/2020,Australia,,2020-03-20,12.0,B.1
EPI_ISL_426655,Australia/VIC346/2020,Australia,,2020-03-20,12.0,B.1.3
EPI_ISL_426656,Australia/VIC347/2020,Australia,,2020-03-20,12.0,B.1.3
EPI_ISL_426657,Australia/VIC348/2020,Australia,,2020-03-20,12.0,B.1
EPI_ISL_426658,Australia/VIC350/2020,Australia,,2020-03-20,12.0,A.3
EPI_ISL_426680,Australia/VIC373/2020,Australia,,2020-03-22,13.0,B
EPI_ISL_426683,Australia/VIC376/2020,Australia,,2020-03-22,13.0,B.1
EPI_ISL_426684,Australia/VIC377/2020,Australia,,2020-03-22,13.0,B.1.1
EPI_ISL_426685,Australia/VIC378/2020,Australia,,2020-03-22,13.0,B.2.4
EPI_ISL_426686,Australia/VIC379/2020,Australia,,2020-03-22,13.0,A.1
EPI_ISL_426689,Australia/VIC382/2020,Australia,,2020-03-23,13.0,B.1.25
EPI_ISL_426690,Australia/VIC383/2020,Australia,,2020-03-23,13.0,B.1
EPI_ISL_426691,Australia/VIC384/2020,Australia,,2020-03-23,13.0,B.1
EPI_ISL_426695,Australia/VIC388/2020,Australia,,2020-03-23,13.0,B.1.1
EPI_ISL_426696,Australia/VIC389/2020,Australia,,2020-03-23,13.0,B.2
EPI_ISL_426697,Australia/VIC394/2020,Australia,,2020-03-24,13.0,B.1.1.7
EPI_ISL_403935,Guangdong/20SF025/2020,China,,2020-01-15,3.0,A
EPI_ISL_403936,Guangdong/20SF028/2020,China,,2020-01-17,3.0,B
EPI_ISL_403934,Guangdong/20SF014/2020,China,,2020-01-15,3.0,B
EPI_ISL_403928,Wuhan/IPBCAMS-WH-05/2020,China,,2020-01-01,1.0,B
EPI_ISL_403930,Wuhan/IPBCAMS-WH-03/2019,China,,2019-12-30,1.0,B
EPI_ISL_414600,France/GE1583/2020,France,,2020-02-26,9.0,A.2
EPI_ISL_426617,USA/NY-NYUMC162/2020,USA,,2020-04-01,14.0,B.1
EPI_ISL_426618,USA/NY-NYUMC163/2020,USA,,2020-04-01,14.0,B.1.3
EPI_ISL_426619,USA/NY-NYUMC164/2020,USA,,2020-04-01,14.0,B.1
EPI_ISL_414630,France/HF1871/2020,France,,2020-03-03,10.0,B.1
EPI_ISL_414633,France/IDF1980/2020,France,,2020-03-04,10.0,B.1
EPI_ISL_414632,France/GE1977/2020,France,,2020-03-04,10.0,B.1
EPI_ISL_414635,France/HF1988/2020,France,,2020-03-04,10.0,B.1
EPI_ISL_414634,France/HF1986/2020,France,,2020-03-04,10.0,B.1
EPI_ISL_414625,France/PL1643/2020,France,,2020-02-26,9.0,B.1
EPI_ISL_414628,France/HF1805/2020,France,,2020-03-02,10.0,B.1
EPI_ISL_414629,France/HF1870/2020,France,,2020-03-03,10.0,B.1
EPI_ISL_426621,USA/NY-NYUMC166/2020,USA,,2020-04-01,14.0,B.1.3
EPI_ISL_426624,USA/NY-NYUMC169/2020,USA,,2020-04-01,14.0,B.1
EPI_ISL_426625,USA/NY-NYUMC170/2020,USA,,2020-04-01,14.0,B.1
EPI_ISL_426626,USA/NY-NYUMC171/2020,USA,,2020-04-01,14.0,B.1.1.1
EPI_ISL_414624,France/N1620/2020,France,,2020-02-26,9.0,B.1
EPI_ISL_414617,USA/WA-UW30/2020,USA,,2020-03-08,11.0,A.1
EPI_ISL_414619,USA/WA-UW32/2020,USA,,2020-03-07,10.0,A.1
EPI_ISL_414618,USA/WA-UW31/2020,USA,,2020-03-08,11.0,A.1
EPI_ISL_426630,Taiwan/TSGH-02/2020,Taiwan,,2020-03-17,12.0,B.4
EPI_ISL_426632,Taiwan/TSGH-04/2020,Taiwan,,2020-03-17,12.0,B.1
EPI_ISL_414648,USA/CA-PC101P/2020,USA,,2020-03-11,11.0,B.1
EPI_ISL_414641,Finland/FIN-313/2020,Finland,,2020-03-05,10.0,B.1.1
EPI_ISL_414646,Finland/FIN-266/2020,Finland,Iran,2020-03-04,10.0,B.1
EPI_ISL_414637,France/HF1993/2020,France,,2020-03-04,10.0,B.1
EPI_ISL_414636,France/HF1989/2020,France,,2020-03-04,10.0,B.1
EPI_ISL_414638,France/HF1995/2020,France,,2020-03-04,10.0,B.1
EPI_ISL_424199,USA/WA-UW-1672/2020,USA,,2020-03-20,12.0,A.1
EPI_ISL_424196,USA/WA-UW-1666/2020,USA,,2020-03-20,12.0,A.1
EPI_ISL_424195,USA/WA-UW-1726/2020,USA,,2020-03-21,12.0,B.1.3
EPI_ISL_424188,USA/WA-UW-1645/2020,USA,,2020-03-20,12.0,B.2.1
EPI_ISL_424187,USA/WA-UW-1646/2020,USA,,2020-03-20,12.0,B.1
EPI_ISL_424186,USA/WA-UW-1644/2020,USA,,2020-03-20,12.0,B.1.38
EPI_ISL_424180,USA/WA-UW-1294/2020,USA,,2020-03-18,12.0,A.1
EPI_ISL_413459,Japan/TK-20-31-3/2020,Japan,,2020-02-20,8.0,B.5
EPI_ISL_426781,Australia/VIC511/2020,Australia,,2020-03-23,13.0,B.2.4
EPI_ISL_426782,Australia/VIC512/2020,Australia,,2020-03-23,13.0,B.1.1.30
